Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
nelder-mead;2018-05-22 08:33:07.489336;419.8165214061737;1;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216264;78.0;78.0
nelder-mead;2018-05-22 08:39:44.618490;816.9456758499146;1;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216264;70.0;78.0
nelder-mead;2018-05-22 08:46:17.185633;1209.5128178596497;1;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216264;66.0;78.0
nelder-mead;2018-05-22 08:53:17.063670;1629.3908557891846;1;4;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0607868789216264;78.0;78.0
nelder-mead;2018-05-22 09:00:22.722875;2055.0500605106354;1;5;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0901967197304065;79.0;79.0
nelder-mead;2018-05-22 09:07:14.666424;2466.9936094284058;1;6;0.3522044322036605;0.515023962215735;0.4894401509372782;1.0754917993260165;78.0;79.0
nelder-mead;2018-05-22 09:14:36.185742;2908.5129277706146;1;7;0.21157943220366054;0.590023962215735;0.5;1.0828442595282115;86.0;86.0
nelder-mead;2018-05-22 09:22:35.816887;3388.1440727710724;1;8;0.11314193220366053;0.5525239622157351;0.5;1.093872949831504;98.0;98.0
nelder-mead;2018-05-22 09:29:54.073662;3826.400847673416;1;9;0.2326731822036605;0.5337739622157349;0.4788803018745563;1.0993872949831505;83.0;98.0
nelder-mead;2018-05-22 09:36:53.453535;4245.780719995499;1;10;0.11665755720366061;0.6931489622157351;0.4736003773431955;1.0966301224073272;83.0;98.0
nelder-mead;2018-05-22 09:45:05.392586;4737.719770908356;1;11;0.08325911970366051;0.5572114622157349;0.5;1.1;98.0;98.0
nelder-mead;2018-05-22 09:53:34.007483;5246.334668159485;1;12;0.05;0.5033052122157351;0.4868001886715977;1.1;99.0;99.0
nelder-mead;2018-05-22 10:02:01.436637;5753.763822078705;1;13;0.05;0.5;0.4854802075387574;1.1;99.0;99.0
nelder-mead;2018-05-22 10:09:23.553735;6195.880920171738;1;14;0.05;0.6193208372157353;0.5;1.095864241136265;85.0;99.0
nelder-mead;2018-05-22 10:18:08.731994;6721.05917930603;1;15;0.05;0.5;0.5;1.0982384730765573;98.0;99.0
