Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
NMS,2019-03-23 11:44:28.881964,311.0693244934082,1,1,0.2959544322036606,0.665023962215735,0.45776060374911276,1.0607868789216266,79.0
NMS,2019-03-23 11:49:24.129105,606.3164656162262,1,2,0.40845443220366057,0.665023962215735,0.45776060374911276,1.0607868789216266,69.0
NMS,2019-03-23 11:54:15.815254,898.0026137828827,1,3,0.2959544322036606,0.815023962215735,0.45776060374911276,1.0607868789216266,66.0
NMS,2019-03-23 11:59:24.215412,1206.4027717113495,1,4,0.2959544322036606,0.665023962215735,0.4894401509372782,1.0607868789216266,79.0
NMS,2019-03-23 12:04:37.489019,1519.6763792037964,1,5,0.2959544322036606,0.665023962215735,0.4894401509372782,1.0901967197304068,78.0
NMS,2019-03-23 12:09:38.797080,1820.9844398498535,1,6,0.3522044322036605,0.515023962215735,0.4894401509372782,1.0754917993260167,78.0
NMS,2019-03-23 12:15:00.966519,2143.1538796424866,1,7,0.21157943220366054,0.590023962215735,0.5,1.0828442595282117,86.0
NMS,2019-03-23 12:20:51.429804,2493.617164373398,1,8,0.11314193220366053,0.5525239622157351,0.5,1.0938729498315043,97.0
NMS,2019-03-23 12:26:05.040781,2807.2281410694122,1,9,0.2326731822036605,0.5337739622157349,0.4788803018745563,1.05527253376998,80.0
NMS,2019-03-23 12:31:10.309770,3112.497130393982,1,10,0.11665755720366061,0.6931489622157351,0.4736003773431955,1.0598678213963517,83.0
NMS,2019-03-23 12:36:20.654563,3422.841923713684,1,11,0.08325911970366051,0.5572114622157349,0.4656804905461541,1.0741132130381044,79.0
NMS,2019-03-23 12:41:37.168283,3739.355643749237,1,12,0.24278060407866056,0.638070837215735,0.4835002358394972,1.064118462450746,83.0
NMS,2019-03-23 12:47:43.450732,4105.638091802597,1,13,0.056672205641160545,0.5437348997157352,0.5,1.075779004802664,99.0
NMS,2019-03-23 12:53:48.535360,4470.722720623016,1,14,0.05,0.5,0.5,1.0832750677431828,98.0
NMS,2019-03-23 12:58:54.437034,4776.624394655228,1,15,0.05,0.6799653684657352,0.49967000471679,1.0915465854706528,83.0
