Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
PRAXIS,2019-03-23 16:57:45.333098,306.2310857772827,1,1,0.2959544322036606,0.665023962215735,0.45776060374911276,1.0607868789216266,79.0
PRAXIS,2019-03-23 17:02:53.431574,614.3295614719391,1,2,0.2961211223093078,0.665023962215735,0.45776060374911276,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:07:59.853309,920.751296043396,1,3,0.296287812414955,0.665023962215735,0.45776060374911276,1.0607868789216266,79.0
PRAXIS,2019-03-23 17:13:07.412230,1228.3102169036865,1,4,0.2961211223093078,0.665023962215735,0.45776060374911276,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:18:14.484726,1535.382712841034,1,5,0.2961211223093078,0.6651906567326304,0.45776060374911276,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:23:21.326154,1842.2241415977478,1,6,0.2961211223093078,0.665357351249526,0.45776060374911276,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:28:28.578360,2149.4763469696045,1,7,0.2961211223093078,0.6356141214069548,0.45776060374911276,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:33:35.465107,2456.3630940914154,1,8,0.2961211223093078,0.6356141214069548,0.45792557971498843,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:38:42.049727,2762.9477140903473,1,9,0.2961211223093078,0.6356141214069548,0.4580905556808641,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:43:49.601018,3070.499004840851,1,10,0.2961211223093078,0.6356141214069548,0.42835076294033264,1.0607868789216266,81.0
PRAXIS,2019-03-23 17:48:52.591826,3373.4898133277893,1,11,0.2961211223093078,0.6356141214069548,0.42835076294033264,1.0609506737297902,82.0
PRAXIS,2019-03-23 17:53:57.520458,3678.418444633484,1,12,0.2961211223093078,0.6356141214069548,0.42835076294033264,1.0611144685379539,77.0
PRAXIS,2019-03-23 17:59:01.500824,3982.398811340332,1,13,0.2961211223093078,0.6356141214069548,0.42835076294033264,1.0608960754604024,78.0
PRAXIS,2019-03-23 18:04:09.145861,4290.043848276138,1,14,0.2961211223093078,0.6356141214069548,0.42835076294033264,1.0608414771910144,78.0
PRAXIS,2019-03-23 18:09:19.610833,4600.508820533752,1,15,0.2961211223093078,0.6356141214069548,0.42835076294033264,1.0608141780563205,77.0
