Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
nelder-mead;2018-05-22 14:08:22.090056;419.942177772522;4;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216264;78.0;78.0
nelder-mead;2018-05-22 14:14:59.921802;817.7739238739014;4;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216264;70.0;78.0
nelder-mead;2018-05-22 14:21:32.471531;1210.3236532211304;4;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216264;66.0;78.0
nelder-mead;2018-05-22 14:28:32.523137;1630.375258922577;4;4;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0607868789216264;78.0;78.0
nelder-mead;2018-05-22 14:35:37.258853;2055.1109750270844;4;5;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0901967197304065;79.0;79.0
nelder-mead;2018-05-22 14:42:29.779310;2467.63143157959;4;6;0.3522044322036605;0.515023962215735;0.4894401509372782;1.0754917993260165;78.0;79.0
nelder-mead;2018-05-22 14:49:52.579983;2910.4321053028107;4;7;0.21157943220366054;0.590023962215735;0.5;1.0828442595282115;86.0;86.0
nelder-mead;2018-05-22 14:57:52.836296;3390.6884186267853;4;8;0.11314193220366053;0.5525239622157351;0.5;1.093872949831504;98.0;98.0
nelder-mead;2018-05-22 15:05:09.746225;3827.5983464717865;4;9;0.2326731822036605;0.5337739622157349;0.4788803018745563;1.0993872949831505;83.0;98.0
nelder-mead;2018-05-22 15:12:08.439582;4246.291703939438;4;10;0.11665755720366061;0.6931489622157351;0.4736003773431955;1.0966301224073272;83.0;98.0
nelder-mead;2018-05-22 15:20:20.477239;4738.329361438751;4;11;0.08325911970366051;0.5572114622157349;0.5;1.1;98.0;98.0
nelder-mead;2018-05-22 15:28:46.277318;5244.12943983078;4;12;0.05;0.5033052122157351;0.4868001886715977;1.1;99.0;99.0
nelder-mead;2018-05-22 15:37:14.284899;5752.13702082634;4;13;0.05;0.5;0.4854802075387574;1.1;99.0;99.0
nelder-mead;2018-05-22 15:44:25.659126;6183.511247873306;4;14;0.05;0.6193208372157353;0.5;1.095864241136265;85.0;99.0
nelder-mead;2018-05-22 15:52:54.071822;6691.923943758011;4;15;0.05;0.5;0.5;1.0982384730765573;98.0;99.0
