Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
praxis;2018-05-23 06:22:28.048880;423.6128466129303;1;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216264;78.0;78.0
praxis;2018-05-23 06:29:27.630052;843.1940181255341;1;2;0.2961211223093078;0.665023962215735;0.45776060374911276;1.0607868789216264;80.0;80.0
praxis;2018-05-23 06:36:29.431959;1264.9959251880646;1;3;0.296287812414955;0.665023962215735;0.45776060374911276;1.0607868789216264;79.0;80.0
praxis;2018-05-23 06:43:32.060565;1687.624531030655;1;4;0.29614890399358235;0.665023962215735;0.45776060374911276;1.0607868789216264;78.0;80.0
praxis;2018-05-23 06:50:31.175941;2106.7399072647095;1;5;0.2961211223093078;0.6651906567326304;0.45776060374911276;1.0607868789216264;80.0;80.0
praxis;2018-05-23 06:57:31.023470;2526.587436437607;1;6;0.2961211223093078;0.665357351249526;0.45776060374911276;1.0607868789216264;80.0;80.0
praxis;2018-05-23 07:04:31.964608;2947.512948513031;1;7;0.2961211223093078;0.6356141214069547;0.45776060374911276;1.0607868789216264;80.0;80.0
praxis;2018-05-23 07:11:31.453679;3367.017645597458;1;8;0.2961211223093078;0.6356141214069547;0.45792557971498843;1.0607868789216264;80.0;80.0
praxis;2018-05-23 07:18:31.894128;3787.4580941200256;1;9;0.2961211223093078;0.6356141214069547;0.4580905556808641;1.0607868789216264;80.0;80.0
praxis;2018-05-23 07:25:32.711467;4208.275433301926;1;10;0.2961211223093078;0.6356141214069547;0.4283507629403325;1.0607868789216264;80.0;80.0
praxis;2018-05-23 07:32:33.245916;4628.809881925583;1;11;0.2961211223093078;0.6356141214069547;0.4283507629403325;1.06095067372979;81.0;81.0
praxis;2018-05-23 07:39:34.921477;5050.485443115234;1;12;0.2961211223093078;0.6356141214069547;0.4283507629403325;1.0611144685379537;77.0;81.0
praxis;2018-05-23 07:46:33.786260;5469.350225925446;1;13;0.2961211223093078;0.6356141214069547;0.4283507629403325;1.060901535287341;78.0;81.0
praxis;2018-05-23 07:53:36.368112;5891.932078123093;1;14;0.2961211223093078;0.6356141214069547;0.4283507629403325;1.0608442071044837;78.0;81.0
praxis;2018-05-23 08:00:36.544986;6312.108951807022;1;15;0.2961211223093078;0.6356141214069547;0.4283507629403325;1.060815543013055;78.0;81.0
