Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
cobyla;2018-05-28 08:48:54.816530;426.7538287639618;1;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216266;79.0;79.0
cobyla;2018-05-28 08:55:41.693915;833.6312139034271;1;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216266;69.0;79.0
cobyla;2018-05-28 09:02:24.145800;1236.0830986499786;1;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216266;66.0;79.0
cobyla;2018-05-28 09:09:26.367416;1658.304714679718;1;4;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0607868789216266;79.0;79.0
cobyla;2018-05-28 09:16:38.575970;2090.5132694244385;1;5;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0901967197304068;78.0;79.0
cobyla;2018-05-28 09:23:53.766448;2525.70374751091;1;6;0.22748911251551482;0.546350741422949;0.45776060374911276;1.0589970530078927;82.0;82.0
cobyla;2018-05-28 09:30:51.191396;2943.1286947727203;1;7;0.12340226424919307;0.6015487655126016;0.45776060374911276;1.056276006218737;83.0;83.0
cobyla;2018-05-28 09:38:58.776232;3430.7135310173035;1;8;0.08937319838410207;0.5469095536549375;0.45776060374911276;1.0515503363144558;99.0;99.0
cobyla;2018-05-28 09:47:10.110354;3922.0476529598236;1;9;0.09398368953911422;0.5453933781324204;0.45776060374911276;1.0368979092494301;95.0;99.0
cobyla;2018-05-28 09:55:21.488787;4413.426086187363;1;10;0.08937319838410207;0.5469095536549375;0.463135640967735;1.0515503363144558;99.0;99.0
cobyla;2018-05-28 10:02:22.665239;4834.602538347244;1;11;0.12874639676820415;0.5938191073098751;0.45776060374911276;1.0566196693074852;77.0;99.0
cobyla;2018-05-28 10:10:32.792755;5324.730053663254;1;12;0.09164387403888478;0.5298660123950641;0.45776060374911276;1.051853627469718;96.0;99.0
cobyla;2018-05-28 10:17:34.014044;5745.951343297958;1;13;0.12874639676820415;0.5999750559239482;0.45776060374911276;1.0529784517160106;82.0;99.0
cobyla;2018-05-28 10:24:48.501279;6180.438578367233;1;14;0.08066926862185327;0.556003844145344;0.45776060374911276;1.051125806584283;83.0;99.0
cobyla;2018-05-28 10:32:37.068833;6649.006131649017;1;15;0.1324059471508789;0.5;0.45776060374911276;1.0538061461772312;94.0;99.0
