Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
cobyla;2018-05-22 15:59:55.855989;421.76853466033936;1;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216266;79.0;79.0
cobyla;2018-05-22 16:06:39.689493;825.6020398139954;1;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216266;69.0;79.0
cobyla;2018-05-22 16:13:19.224103;1225.136649131775;1;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216266;66.0;79.0
cobyla;2018-05-22 16:20:21.151230;1647.0637764930725;1;4;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0607868789216266;79.0;79.0
cobyla;2018-05-22 16:27:28.904169;2074.81671500206;1;5;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0901967197304068;78.0;79.0
cobyla;2018-05-22 16:34:40.860743;2506.773289203644;1;6;0.22748911251551482;0.546350741422949;0.45776060374911276;1.0589970530078927;82.0;82.0
cobyla;2018-05-22 16:41:39.194422;2925.106967687607;1;7;0.12340226424919307;0.6015487655126016;0.45776060374911276;1.056276006218737;83.0;83.0
cobyla;2018-05-22 16:49:46.134717;3412.047263145447;1;8;0.08937319838410207;0.5469095536549375;0.45776060374911276;1.0515503363144558;99.0;99.0
cobyla;2018-05-22 16:57:51.062370;3896.9749162197113;1;9;0.09398368953911422;0.5453933781324204;0.45776060374911276;1.0368979092494301;95.0;99.0
cobyla;2018-05-22 17:05:57.443408;4383.355954408646;1;10;0.08937319838410207;0.5469095536549375;0.463135640967735;1.0515503363144558;99.0;99.0
cobyla;2018-05-22 17:12:55.462043;4801.374589443207;1;11;0.12874639676820415;0.5938191073098751;0.45776060374911276;1.0566196693074852;77.0;99.0
cobyla;2018-05-22 17:21:00.058980;5285.971526622772;1;12;0.09164387403888478;0.5298660123950641;0.45776060374911276;1.051853627469718;96.0;99.0
cobyla;2018-05-22 17:27:58.547106;5704.45965218544;1;13;0.12874639676820415;0.5999750559239482;0.45776060374911276;1.0529784517160106;82.0;99.0
cobyla;2018-05-22 17:35:09.396605;6135.309150695801;1;14;0.08066926862185327;0.556003844145344;0.45776060374911276;1.051125806584283;83.0;99.0
cobyla;2018-05-22 17:42:56.353546;6602.266092538834;1;15;0.1324059471508789;0.5;0.45776060374911276;1.0538061461772312;94.0;99.0
